Name	GR
YBL037W	0.349
YPL127C	0.349
YNL010W	0.349
YMR313C	0.349
YFL050C	0.349
YOR059C	0.349
YGL005C	0.349
YDR234W	0.349
YAL005C	0.349
YPR059C	0.349
YDL155W	0.348
YJR054W	0.348
YNR028W	0.348
YPL099C	0.348
YOR066W	0.348
YOR193W	0.348
YOR114W	0.348
YJL138C	0.348
YGR100W	0.348
YOR185C	0.348
YDL161W	0.348
YDR379W	0.348
YMR145C	0.348
YGR088W	0.348
YOR115C	0.348
YOL064C	0.348
YEL031W	0.348
YOR301W	0.348
YKR014C	0.348
YPL145C	0.348
YOR352W	0.348
YDL213C	0.348
YOL129W	0.348
YOR106W	0.348
YBL036C	0.348
YGL153W	0.348
YDR199W	0.348
YCR100C	0.348
YFL054C	0.348
YIL034C	0.348
YBR183W	0.348
YIL035C	0.348
YNR066C	0.348
YBL091C	0.348
YOR230W	0.348
YOR205C	0.348
YLL013C	0.348
YOR303W	0.348
YJR050W	0.348
YPR045C	0.348
YNR065C	0.348
YPL062W	0.348
YDL197C	0.348
YPL192C	0.348
YOR208W	0.348
YMR099C	0.348
YBR186W	0.348
YJR058C	0.348
YIL153W	0.348
YOR316C	0.348
YGL083W	0.348
YOL067C	0.348
YDL138W	0.348
YNR058W	0.348
YGL114W	0.348
YML117W	0.348
YDL128W	0.348
YPR032W	0.348
YPL260W	0.348
YHR150W	0.348
YML009C	0.348
YER111C	0.348
YKL015W	0.348
YPR109W	0.348
YMR316C-A	0.348
YBR294W	0.348
YCR069W	0.348
YFR015C	0.348
YJR096W	0.348
YLR020C	0.348
YOR085W	0.348
YHR061C	0.348
YOR285W	0.348
YBR033W	0.348
YOL065C	0.348
YEL041W	0.348
YDL122W	0.348
YKR035W-A	0.348
YIL134W	0.347
YPR028W	0.347
YAL016W	0.347
YDL018C	0.347
YNL056W	0.347
YIR031C	0.347
YBR280C	0.347
YDR444W	0.347
YOR100C	0.347
YBR111C	0.347
YDR251W	0.347
YML089C	0.347
YBR024W	0.347
YLR404W	0.347
YJL197W	0.347
YJL122W	0.347
YJL178C	0.347
YNL336W	0.347
YGL197W	0.347
YKL086W	0.347
YER140W	0.347
YGR049W	0.347
YOL001W	0.347
YBL090W	0.347
YCR001W	0.347
YMR104C	0.347
YIR020W-B	0.347
YMR083W	0.347
YOR179C	0.347
YIR044C	0.347
YPR046W	0.347
YHR078W	0.347
YDR319C	0.347
YCR083W	0.347
YIR029W	0.347
YML117W-A	0.347
YOR381W	0.347
YDL036C	0.347
YNR019W	0.347
YPL164C	0.347
YDR239C	0.347
YIL131C	0.347
YDR123C	0.347
YOR023C	0.347
YIL057C	0.347
YGL089C	0.347
YCR065W	0.347
YER055C	0.347
YLR096W	0.347
YKR039W	0.347
YLR187W	0.347
YOR237W	0.347
YMR294W-A	0.347
YGL085W	0.347
YPL225W	0.347
YGR207C	0.347
YNL278W	0.347
YML073C	0.347
YDR247W	0.347
YNR006W	0.347
YGL096W	0.347
YBL048W	0.347
YKL061W	0.347
YNL012W	0.347
YPR192W	0.347
YMR090W	0.347
YDR155C	0.347
YPR160W	0.347
YOR188W	0.347
YDL202W	0.347
YKL017C	0.347
YIR007W	0.347
YIL032C	0.346
YPL232W	0.346
YNL029C	0.346
YLL021W	0.346
YNR056C	0.346
YKL174C	0.346
YJR038C	0.346
YNR055C	0.346
YBL055C	0.346
YGL158W	0.346
YLR154C	0.346
YPL061W	0.346
YHR202W	0.346
YBL083C	0.346
YJR019C	0.346
YFL026W	0.346
YJL067W	0.346
YEL048C	0.346
YGR138C	0.346
YLR178C	0.346
YDR446W	0.346
YDL125C	0.346
YOR296W	0.346
YDL214C	0.346
YDL211C	0.346
YLR390W-A	0.346
YBR045C	0.346
YMR245W	0.346
YCL044C	0.346
YCR085W	0.346
YGR168C	0.346
YEL017W	0.346
YDR272W	0.346
YOR016C	0.346
